Banner;Index;Item;Item Type;Item Rarity;Date
Novice;1;Thrilling Tales of Dragon Slayers;Weapon;3;2020-09-29T11:10:48Z
Novice;2;Slingshot;Weapon;3;2020-09-29T11:10:48Z
Novice;3;Razor;Character;4;2020-09-29T11:10:48Z
Novice;4;Bloodtainted Greatsword;Weapon;3;2020-09-29T11:10:48Z
Novice;5;Emerald Orb;Weapon;3;2020-09-29T11:10:48Z
Novice;6;Skyrider Sword;Weapon;3;2020-09-29T11:10:48Z
Novice;7;Black Tassel;Weapon;3;2020-09-29T11:10:48Z
Novice;8;Noelle;Character;4;2020-09-29T11:10:48Z
Novice;9;Raven Bow;Weapon;3;2020-09-29T11:10:48Z
Novice;10;Magic Guide;Weapon;3;2020-09-29T11:10:48Z
Novice;11;Emerald Orb;Weapon;3;2020-09-29T14:58:27Z
Novice;12;Raven Bow;Weapon;3;2020-09-29T14:58:27Z
Novice;13;Cool Steel;Weapon;3;2020-09-29T14:58:27Z
Novice;14;Harbinger of Dawn;Weapon;3;2020-09-29T14:58:27Z
Novice;15;Magic Guide;Weapon;3;2020-09-29T14:58:27Z
Novice;16;Magic Guide;Weapon;3;2020-09-29T14:58:27Z
Novice;17;Skyrider Sword;Weapon;3;2020-09-29T14:58:27Z
Novice;18;Bennett;Character;4;2020-09-29T14:58:27Z
Novice;19;Emerald Orb;Weapon;3;2020-09-29T14:58:27Z
Novice;20;Emerald Orb;Weapon;3;2020-09-29T14:58:27Z
Permanent;1;Thrilling Tales of Dragon Slayers;Weapon;3;2020-09-29T15:36:20Z
Permanent;2;Raven Bow;Weapon;3;2020-09-29T15:36:20Z
Permanent;3;Cool Steel;Weapon;3;2020-09-29T15:36:20Z
Permanent;4;Bloodtainted Greatsword;Weapon;3;2020-09-29T15:36:20Z
Permanent;5;Raven Bow;Weapon;3;2020-09-29T15:36:20Z
Permanent;6;Emerald Orb;Weapon;3;2020-09-29T15:36:20Z
Permanent;7;Debate Club;Weapon;3;2020-09-29T15:36:20Z
Permanent;8;Ferrous Shadow;Weapon;3;2020-09-29T15:36:20Z
Permanent;9;Raven Bow;Weapon;3;2020-09-29T15:36:20Z
